Movie,Length (minutes)
The Prince of Egypt,99
Pokemon:The First Movie,96
The SpongeBob Suarepants Movie,90
Jimmy Neutron: Boy Genius,82
Chicken Run,84
Lilo & Stitch,85
Barnyard: The Original Party Animals,83
Cars,116
The Lion King,89
Kung Fu Panda 2,91
Coraline,100
Bee Movie,90
Rio,96
Aladdin,90
Shark Tale,90
The Rugrats Movie,81
Meet the Robinsons,92
A Bug's Life,96
Ratatouille,111
Megamind,96
Ice Age,81
The Hunchback of Notre Dame,91
Over the Hedge,87
Spirit: Stallion of the Cimarron,82
Toy Story 2,92
Finding Nemo,104
Shrek 2,93
Monsters Inc.,90
Beowulf,113
Dinosaur,82
