Movie,Length (minutes)
Cars,116
Arthur Christmas,97
Ice Age,81
Bee Movie,90
The Emperor's New Groove,78
The Fox and the Hound,83
Tarzan,88
Ice Age: The Meltdown,90
Pokemon:The First Movie,96
Space Jam,88
A Christmas Carol,96
Cloudy with a Chance of Meatballs,81
Toy Story 3,103
Hercules,92
Robots,90
Madagascar,86
Shrek 2,93
Gnomeo and Juliet,84
Beowulf,113
The Rugrats Movie,81
Monster House,91
Beavis and Butt-Head Do America,80
Tim Burton's The Nightmare Before Christmas,76
Tim Burton's Corpse Bride,74
Rio,96
Barnyard: The Original Party Animals,83
Flushed Away,86
Legends of the Guardians: The Owls of Ga'Hoole,90
South Park--Bigger Longer and Uncut,80
Pocahontas,81
