Movie,Length (minutes)
Brother Bear,85
Home on the Range,76
A Bug's Life,96
The Simpsons Movie,87
Rio,96
The Tale of Despereaux,87
Toy Story 2,92
Monster House,91
Kung Fu Panda 2,91
Meet the Robinsons,92
Ice Age,81
Shrek 2,93
Dr. Seuss' Horton Hears a Who!,88
Arthur Christmas,97
Barnyard: The Original Party Animals,83
The Princess and the Frog,95
Cars,116
Pokemon:The First Movie,96
How to Train Your Dragon,98
Atlantis: The Lost Empire,95
Puss in Boots,90
Flushed Away,86
The Road to El Dorado,99
Shrek,90
Jimmy Neutron: Boy Genius,82
Spirit: Stallion of the Cimarron,82
Fantasia 2000,75
A Christmas Carol,96
The Polar Express,100
Tarzan,88
