Movie,Length (minutes)
The Tigger Movie,77
A Bug's Life,96
Cloudy with a Chance of Meatballs,81
The Prince of Egypt,99
Coraline,100
Open Season,100
Jimmy Neutron: Boy Genius,82
The Incredibles,115
Gnomeo and Juliet,84
Chicken Run,84
South Park--Bigger Longer and Uncut,80
Atlantis: The Lost Empire,95
Beowulf,113
Monster House,91
Space Jam,88
The Little Mermaid,83
The Land Before Time,67
Happy Feet,108
Meet the Robinsons,92
Anastasia,94
WALL-E,97
Rugrats in Paris:The Movie,78
Puss in Boots,90
Chicken Little,81
The Jungle Book 2,78
The Hunchback of Notre Dame,91
Shrek Forever,93
Tim Burton's The Nightmare Before Christmas,76
Shrek 2,93
Wallace and Gromit: The Curse of the Were-Rabbit,85
