Movie,Length (minutes)
Bolt,96
Finding Nemo,104
Surf's Up,85
The Tale of Despereaux,87
The Prince of Egypt,99
Puss in Boots,90
Beowulf,113
Ratatouille,111
Tarzan,88
Happy Feet,108
Hoodwinked,95
The Tigger Movie,77
The Princess and the Frog,95
Shrek the Third,92
Meet the Robinsons,92
Kung Fu Panda 2,91
Mulan,88
Monster House,91
Chicken Little,81
Pocahontas,81
Shrek,90
Beavis and Butt-Head Do America,80
Madagascar: Excape 2 Africs,89
How to Train Your Dragon,98
Tim Burton's The Nightmare Before Christmas,76
The Adventures of Tintin,101
Monsters Inc.,90
Return to Never Land,72
Cars 2,113
Tangled,100
