Movie,Length (minutes)
Mulan,88
Ratatouille,111
Lilo & Stitch,85
Toy Story,81
Toy Story 3,103
Flushed Away,86
The Rugrats Movie,81
Robots,90
Beauty and the Beast,84
Madagascar: Excape 2 Africs,89
Happy Feet Two,105
Who Framed Roger Rabbit,103
Surf's Up,85
The Tale of Despereaux,87
The Jungle Book 2,78
Space Jam,88
Finding Nemo,104
The Road to El Dorado,99
Return to Never Land,72
The Polar Express,100
Shrek 2,93
The Simpsons Movie,87
The Lion King,89
Tangled,100
Tim Burton's The Nightmare Before Christmas,76
Tim Burton's Corpse Bride,74
Cloudy with a Chance of Meatballs,81
The Little Mermaid,83
Dr. Seuss' Horton Hears a Who!,88
The Princess and the Frog,95
