Movie,Length (minutes)
Pokemon:The First Movie,96
Finding Nemo,104
The Land Before Time,67
Bee Movie,90
Tangled,100
Rugrats in Paris:The Movie,78
The Fox and the Hound,83
Happy Feet Two,105
Shrek 2,93
Toy Story 2,92
The Simpsons Movie,87
Open Season,100
The Prince of Egypt,99
The Princess and the Frog,95
Arthur Christmas,97
Beavis and Butt-Head Do America,80
The Emperor's New Groove,78
Wallace and Gromit: The Curse of the Were-Rabbit,85
Rio,96
The Adventures of Tintin,101
A Christmas Carol,96
Happy Feet,108
Antz,84
The Tale of Despereaux,87
Shark Tale,90
Cars,116
Robots,90
Chicken Run,84
Cars 2,113
How to Train Your Dragon,98
