Movie,Length (minutes)
Bee Movie,90
TMNT,90
Tim Burton's The Nightmare Before Christmas,76
Over the Hedge,87
The Prince of Egypt,99
Who Framed Roger Rabbit,103
The Simpsons Movie,87
Cars 2,113
The Little Mermaid,83
Arthur Christmas,97
Dr. Seuss' Horton Hears a Who!,88
WALL-E,97
Atlantis: The Lost Empire,95
Happy Feet Two,105
The Adventures of Tintin,101
The Rugrats Movie,81
Cloudy with a Chance of Meatballs,81
Flushed Away,86
The Road to El Dorado,99
How to Train Your Dragon,98
A Christmas Carol,96
Pocahontas,81
Puss in Boots,90
Spirit: Stallion of the Cimarron,82
Rugrats in Paris:The Movie,78
Toy Story 2,92
The Incredibles,115
Beauty and the Beast,84
Wallace and Gromit: The Curse of the Were-Rabbit,85
Mulan,88
