Movie,Length (minutes)
The Princess and the Frog,95
The Incredibles,115
Atlantis: The Lost Empire,95
Open Season,100
Beauty and the Beast,84
The Land Before Time,67
The Fox and the Hound,83
The Adventures of Tintin,101
Meet the Robinsons,92
The Lion King,89
South Park--Bigger Longer and Uncut,80
Ice Age: The Meltdown,90
The Emperor's New Groove,78
Coraline,100
Fantasia 2000,75
The Simpsons Movie,87
Shrek Forever,93
Mulan,88
Ratatouille,111
Rugrats in Paris:The Movie,78
The Prince of Egypt,99
Shark Tale,90
Barnyard: The Original Party Animals,83
Home on the Range,76
Who Framed Roger Rabbit,103
Pocahontas,81
Chicken Little,81
Surf's Up,85
Up,96
Rio,96
