Movie,Length (minutes)
Flushed Away,86
The Rugrats Movie,81
Beavis and Butt-Head Do America,80
Fantasia 2000,75
The SpongeBob Suarepants Movie,90
The Lion King,89
Toy Story 3,103
Megamind,96
Monster House,91
Cars 2,113
Shrek 2,93
Ice Age: The Meltdown,90
Monsters Inc.,90
The Land Before Time,67
Legends of the Guardians: The Owls of Ga'Hoole,90
Up,96
The Fox and the Hound,83
Rugrats in Paris:The Movie,78
Finding Nemo,104
Bee Movie,90
Brother Bear,85
Cars,116
The Prince of Egypt,99
Mulan,88
The Jungle Book 2,78
Atlantis: The Lost Empire,95
The Adventures of Tintin,101
The Polar Express,100
Curious George,86
The Road to El Dorado,99
