Movie,Length (minutes)
Dinosaur,82
Meet the Robinsons,92
Fantasia 2000,75
How to Train Your Dragon,98
Return to Never Land,72
A Bug's Life,96
A Christmas Carol,96
Space Jam,88
The Prince of Egypt,99
Happy Feet Two,105
Pocahontas,81
Hoodwinked,95
Monster House,91
Tim Burton's The Nightmare Before Christmas,76
Legends of the Guardians: The Owls of Ga'Hoole,90
Flushed Away,86
Barnyard: The Original Party Animals,83
Bee Movie,90
The Polar Express,100
Up,96
Over the Hedge,87
Happy Feet,108
Gnomeo and Juliet,84
Home on the Range,76
Cloudy with a Chance of Meatballs,81
Rango,107
Wallace and Gromit: The Curse of the Were-Rabbit,85
Antz,84
Hercules,92
The Incredibles,115
