Movie,Length (minutes)
Megamind,96
Mulan,88
TMNT,90
Toy Story 3,103
Kung Fu Panda 2,91
Happy Feet,108
The Road to El Dorado,99
Happy Feet Two,105
Spirit: Stallion of the Cimarron,82
Beowulf,113
Tarzan,88
Beauty and the Beast,84
Kung Fu Panda,91
Wallace and Gromit: The Curse of the Were-Rabbit,85
The Rugrats Movie,81
Tim Burton's The Nightmare Before Christmas,76
Shrek the Third,92
Puss in Boots,90
Toy Story,81
Shark Tale,90
The Polar Express,100
Monsters vs. Aliens,94
A Bug's Life,96
Brother Bear,85
A Christmas Carol,96
Pocahontas,81
Monster House,91
Over the Hedge,87
Lilo & Stitch,85
The Princess and the Frog,95
