Movie,Length (minutes)
Chicken Run,84
Bolt,96
Despicable Me,95
Aladdin,90
Ice Age: The Meltdown,90
The Emperor's New Groove,78
Rio,96
Shrek Forever,93
The Tigger Movie,77
Shrek,90
Monster House,91
Shrek the Third,92
Space Jam,88
Toy Story 3,103
Ice Age: Dawn of the Dinosaurs,87
Kung Fu Panda,91
Kung Fu Panda 2,91
Atlantis: The Lost Empire,95
Puss in Boots,90
Antz,84
Return to Never Land,72
Who Framed Roger Rabbit,103
The Princess and the Frog,95
Tangled,100
Mulan,88
Surf's Up,85
Beauty and the Beast,84
Pokemon:The First Movie,96
Wallace and Gromit: The Curse of the Were-Rabbit,85
The Hunchback of Notre Dame,91
