Movie,Length (minutes)
Happy Feet Two,105
Puss in Boots,90
Ice Age: Dawn of the Dinosaurs,87
Robots,90
Rango,107
Shrek 2,93
Arthur Christmas,97
The Jungle Book 2,78
Shark Tale,90
Megamind,96
Home on the Range,76
Hercules,92
Ratatouille,111
WALL-E,97
Kung Fu Panda 2,91
The Adventures of Tintin,101
Legends of the Guardians: The Owls of Ga'Hoole,90
Aladdin,90
Monsters Inc.,90
Return to Never Land,72
The Princess and the Frog,95
The Little Mermaid,83
Hoodwinked,95
Open Season,100
Monster House,91
Mulan,88
Bolt,96
How to Train Your Dragon,98
Over the Hedge,87
Ice Age,81
