Movie,Length (minutes)
Dinosaur,82
Who Framed Roger Rabbit,103
Pokemon:The First Movie,96
Meet the Robinsons,92
Ice Age: Dawn of the Dinosaurs,87
The Emperor's New Groove,78
The Tale of Despereaux,87
Coraline,100
Bee Movie,90
The Rugrats Movie,81
The Fox and the Hound,83
Aladdin,90
The Jungle Book 2,78
Bolt,96
Barnyard: The Original Party Animals,83
Shrek the Third,92
Curious George,86
WALL-E,97
Happy Feet,108
Shark Tale,90
The Prince of Egypt,99
The Simpsons Movie,87
Beavis and Butt-Head Do America,80
The Princess and the Frog,95
The Lion King,89
How to Train Your Dragon,98
Shrek,90
Kung Fu Panda,91
Chicken Run,84
Hercules,92
