Movie,Length (minutes)
Madagascar: Excape 2 Africs,89
Rango,107
Surf's Up,85
How to Train Your Dragon,98
Puss in Boots,90
Gnomeo and Juliet,84
Up,96
Meet the Robinsons,92
Spirit: Stallion of the Cimarron,82
The Road to El Dorado,99
Rugrats in Paris:The Movie,78
Shrek 2,93
TMNT,90
Monsters vs. Aliens,94
Home on the Range,76
Monster House,91
Anastasia,94
Cars,116
The Jungle Book 2,78
The SpongeBob Suarepants Movie,90
Finding Nemo,104
Hoodwinked,95
The Rugrats Movie,81
Kung Fu Panda 2,91
Curious George,86
Megamind,96
Over the Hedge,87
Who Framed Roger Rabbit,103
Mulan,88
The Prince of Egypt,99
