Movie,Length (minutes)
Shark Tale,90
Shrek,90
Return to Never Land,72
The Princess and the Frog,95
How to Train Your Dragon,98
Ice Age,81
Jimmy Neutron: Boy Genius,82
Megamind,96
Flushed Away,86
Dr. Seuss' Horton Hears a Who!,88
The Lion King,89
Antz,84
Kung Fu Panda 2,91
Ice Age: The Meltdown,90
Anastasia,94
Aladdin,90
Monster House,91
The Emperor's New Groove,78
The Hunchback of Notre Dame,91
Chicken Run,84
Madagascar: Excape 2 Africs,89
South Park--Bigger Longer and Uncut,80
Arthur Christmas,97
Legends of the Guardians: The Owls of Ga'Hoole,90
Shrek the Third,92
The Land Before Time,67
Shrek Forever,93
Pokemon:The First Movie,96
Barnyard: The Original Party Animals,83
Wallace and Gromit: The Curse of the Were-Rabbit,85
