Movie,Length (minutes)
TMNT,90
Return to Never Land,72
Space Jam,88
Beauty and the Beast,84
Who Framed Roger Rabbit,103
The Fox and the Hound,83
Tim Burton's The Nightmare Before Christmas,76
Toy Story 2,92
Rio,96
The Emperor's New Groove,78
A Bug's Life,96
Spirit: Stallion of the Cimarron,82
The Polar Express,100
Aladdin,90
Beavis and Butt-Head Do America,80
The Road to El Dorado,99
Shark Tale,90
Hoodwinked,95
The Tale of Despereaux,87
Atlantis: The Lost Empire,95
Happy Feet,108
Tarzan,88
Brother Bear,85
Rugrats in Paris:The Movie,78
Curious George,86
Legends of the Guardians: The Owls of Ga'Hoole,90
Shrek 2,93
Happy Feet Two,105
The Adventures of Tintin,101
WALL-E,97
