Movie,Length (minutes)
Shrek,90
Cars 2,113
Pokemon:The First Movie,96
Jimmy Neutron: Boy Genius,82
Ice Age,81
The Hunchback of Notre Dame,91
Megamind,96
A Christmas Carol,96
Shrek the Third,92
Who Framed Roger Rabbit,103
Wallace and Gromit: The Curse of the Were-Rabbit,85
Hercules,92
Mulan,88
Monsters Inc.,90
Rugrats in Paris:The Movie,78
Toy Story 2,92
The Land Before Time,67
Aladdin,90
The Road to El Dorado,99
Arthur Christmas,97
Dinosaur,82
Atlantis: The Lost Empire,95
The Rugrats Movie,81
Beowulf,113
Shrek 2,93
Chicken Run,84
Gnomeo and Juliet,84
The Polar Express,100
Surf's Up,85
Rango,107
