Movie,Length (minutes)
Tangled,100
Shrek Forever,93
TMNT,90
Curious George,86
The Jungle Book 2,78
WALL-E,97
Despicable Me,95
Pocahontas,81
Meet the Robinsons,92
Gnomeo and Juliet,84
Toy Story,81
Beauty and the Beast,84
Finding Nemo,104
Shrek,90
Barnyard: The Original Party Animals,83
The Little Mermaid,83
Spirit: Stallion of the Cimarron,82
Shrek 2,93
The Hunchback of Notre Dame,91
A Christmas Carol,96
Hercules,92
Bee Movie,90
Return to Never Land,72
Monsters vs. Aliens,94
The Road to El Dorado,99
Toy Story 3,103
Antz,84
Puss in Boots,90
Legends of the Guardians: The Owls of Ga'Hoole,90
Kung Fu Panda,91
