Movie,Length (minutes)
Home on the Range,76
Shrek 2,93
The Land Before Time,67
The Polar Express,100
Beavis and Butt-Head Do America,80
The Road to El Dorado,99
The Tigger Movie,77
Kung Fu Panda,91
Up,96
Meet the Robinsons,92
The Emperor's New Groove,78
A Christmas Carol,96
Madagascar,86
South Park--Bigger Longer and Uncut,80
Spirit: Stallion of the Cimarron,82
Despicable Me,95
Atlantis: The Lost Empire,95
Coraline,100
Shrek Forever,93
Brother Bear,85
Monsters vs. Aliens,94
Open Season,100
Shrek the Third,92
Return to Never Land,72
Ice Age: Dawn of the Dinosaurs,87
The Simpsons Movie,87
Ice Age,81
Beauty and the Beast,84
Lilo & Stitch,85
Tim Burton's The Nightmare Before Christmas,76
