Movie,Length (minutes)
Robots,90
The Lion King,89
Kung Fu Panda 2,91
Wallace and Gromit: The Curse of the Were-Rabbit,85
The Little Mermaid,83
Happy Feet Two,105
Rango,107
Shrek the Third,92
Puss in Boots,90
Shrek,90
The Princess and the Frog,95
The Polar Express,100
Dinosaur,82
Bolt,96
Home on the Range,76
Surf's Up,85
Antz,84
Bee Movie,90
Spirit: Stallion of the Cimarron,82
Toy Story 3,103
The Incredibles,115
Rio,96
Open Season,100
Cloudy with a Chance of Meatballs,81
Who Framed Roger Rabbit,103
Space Jam,88
Dr. Seuss' Horton Hears a Who!,88
Atlantis: The Lost Empire,95
The Road to El Dorado,99
Ice Age: Dawn of the Dinosaurs,87
