Movie,Length (minutes)
Ice Age: The Meltdown,90
Jimmy Neutron: Boy Genius,82
Toy Story 2,92
The Fox and the Hound,83
Legends of the Guardians: The Owls of Ga'Hoole,90
Wallace and Gromit: The Curse of the Were-Rabbit,85
Tarzan,88
The Incredibles,115
The Land Before Time,67
Fantasia 2000,75
Barnyard: The Original Party Animals,83
Curious George,86
Bolt,96
Space Jam,88
Coraline,100
Happy Feet Two,105
Shrek Forever,93
Up,96
Kung Fu Panda 2,91
Finding Nemo,104
Tim Burton's The Nightmare Before Christmas,76
Over the Hedge,87
Toy Story,81
Rio,96
Pocahontas,81
Robots,90
Arthur Christmas,97
A Christmas Carol,96
Aladdin,90
The Adventures of Tintin,101
