Movie,Length (minutes)
Rio,96
The Hunchback of Notre Dame,91
Robots,90
Flushed Away,86
Mulan,88
Madagascar,86
South Park--Bigger Longer and Uncut,80
Brother Bear,85
Lilo & Stitch,85
Curious George,86
Cloudy with a Chance of Meatballs,81
Shrek,90
Madagascar: Excape 2 Africs,89
Rango,107
The SpongeBob Suarepants Movie,90
Tim Burton's The Nightmare Before Christmas,76
Toy Story 2,92
Kung Fu Panda 2,91
The Tale of Despereaux,87
The Polar Express,100
TMNT,90
Beauty and the Beast,84
Up,96
Home on the Range,76
Wallace and Gromit: The Curse of the Were-Rabbit,85
Gnomeo and Juliet,84
A Christmas Carol,96
Cars 2,113
Who Framed Roger Rabbit,103
Pokemon:The First Movie,96
