Movie,Length (minutes)
Cars 2,113
Lilo & Stitch,85
Tim Burton's The Nightmare Before Christmas,76
Jimmy Neutron: Boy Genius,82
Aladdin,90
Cars,116
How to Train Your Dragon,98
Shrek the Third,92
The Emperor's New Groove,78
Bolt,96
Toy Story 2,92
The Princess and the Frog,95
Space Jam,88
Tarzan,88
Fantasia 2000,75
Wallace and Gromit: The Curse of the Were-Rabbit,85
Shrek,90
Antz,84
The Adventures of Tintin,101
The Tigger Movie,77
The Lion King,89
Open Season,100
The Rugrats Movie,81
The Road to El Dorado,99
A Christmas Carol,96
The Hunchback of Notre Dame,91
Cloudy with a Chance of Meatballs,81
The Jungle Book 2,78
Rugrats in Paris:The Movie,78
Surf's Up,85
