Movie,Length (minutes)
Tangled,100
Space Jam,88
The Rugrats Movie,81
TMNT,90
Despicable Me,95
Bolt,96
Home on the Range,76
Bee Movie,90
Aladdin,90
The Adventures of Tintin,101
Beowulf,113
Anastasia,94
Ratatouille,111
Flushed Away,86
Lilo & Stitch,85
Jimmy Neutron: Boy Genius,82
Dr. Seuss' Horton Hears a Who!,88
Cars,116
Tarzan,88
Arthur Christmas,97
The Incredibles,115
Tim Burton's Corpse Bride,74
The Prince of Egypt,99
A Bug's Life,96
Shrek the Third,92
The Little Mermaid,83
Ice Age: The Meltdown,90
Atlantis: The Lost Empire,95
Shrek Forever,93
How to Train Your Dragon,98
