Movie,Length (minutes)
Legends of the Guardians: The Owls of Ga'Hoole,90
Beowulf,113
Hoodwinked,95
Tangled,100
Shrek Forever,93
Spirit: Stallion of the Cimarron,82
Who Framed Roger Rabbit,103
Beauty and the Beast,84
Ice Age: Dawn of the Dinosaurs,87
Chicken Run,84
Rugrats in Paris:The Movie,78
Arthur Christmas,97
Over the Hedge,87
Return to Never Land,72
A Christmas Carol,96
Rio,96
Megamind,96
Kung Fu Panda,91
Shrek the Third,92
Coraline,100
Happy Feet Two,105
The Princess and the Frog,95
Surf's Up,85
Atlantis: The Lost Empire,95
Cars 2,113
Shark Tale,90
Curious George,86
Toy Story 3,103
The Polar Express,100
Despicable Me,95
