Movie,Length (minutes)
Atlantis: The Lost Empire,95
Despicable Me,95
Fantasia 2000,75
The Emperor's New Groove,78
Mulan,88
Dinosaur,82
Chicken Run,84
Megamind,96
TMNT,90
Toy Story,81
The Little Mermaid,83
Robots,90
Shrek the Third,92
Kung Fu Panda 2,91
The Rugrats Movie,81
Bee Movie,90
Who Framed Roger Rabbit,103
Toy Story 3,103
The Land Before Time,67
How to Train Your Dragon,98
Beowulf,113
Shrek,90
Dr. Seuss' Horton Hears a Who!,88
Hercules,92
The Tigger Movie,77
Monster House,91
South Park--Bigger Longer and Uncut,80
A Bug's Life,96
Beauty and the Beast,84
Gnomeo and Juliet,84
