Movie,Length (minutes)
The Hunchback of Notre Dame,91
Monsters vs. Aliens,94
Toy Story,81
Tim Burton's The Nightmare Before Christmas,76
Ice Age: Dawn of the Dinosaurs,87
The Lion King,89
South Park--Bigger Longer and Uncut,80
Coraline,100
Rugrats in Paris:The Movie,78
Megamind,96
Kung Fu Panda,91
The Emperor's New Groove,78
The Road to El Dorado,99
Anastasia,94
Dr. Seuss' Horton Hears a Who!,88
Pokemon:The First Movie,96
Aladdin,90
Over the Hedge,87
Surf's Up,85
Ratatouille,111
Monsters Inc.,90
The Incredibles,115
Tangled,100
Happy Feet Two,105
The Polar Express,100
TMNT,90
A Christmas Carol,96
The Simpsons Movie,87
Kung Fu Panda 2,91
Mulan,88
