Movie,Length (minutes)
Happy Feet,108
Home on the Range,76
The Little Mermaid,83
Gnomeo and Juliet,84
The Simpsons Movie,87
The Adventures of Tintin,101
Toy Story 2,92
Ice Age: Dawn of the Dinosaurs,87
Who Framed Roger Rabbit,103
Shrek Forever,93
Bee Movie,90
Antz,84
Return to Never Land,72
The Tale of Despereaux,87
The Prince of Egypt,99
Toy Story 3,103
Monster House,91
Fantasia 2000,75
Wallace and Gromit: The Curse of the Were-Rabbit,85
Chicken Run,84
Spirit: Stallion of the Cimarron,82
Ice Age,81
Megamind,96
How to Train Your Dragon,98
Tarzan,88
Tangled,100
Despicable Me,95
Cloudy with a Chance of Meatballs,81
Barnyard: The Original Party Animals,83
Aladdin,90
