Movie,Length (minutes)
Toy Story 2,92
Open Season,100
Hoodwinked,95
Tarzan,88
Barnyard: The Original Party Animals,83
Arthur Christmas,97
Cars,116
Ice Age: Dawn of the Dinosaurs,87
Wallace and Gromit: The Curse of the Were-Rabbit,85
Toy Story,81
Toy Story 3,103
Jimmy Neutron: Boy Genius,82
Legends of the Guardians: The Owls of Ga'Hoole,90
Beowulf,113
Rango,107
Puss in Boots,90
Madagascar: Excape 2 Africs,89
The Adventures of Tintin,101
The Little Mermaid,83
Bee Movie,90
Monster House,91
The Road to El Dorado,99
The Tigger Movie,77
Coraline,100
Despicable Me,95
Madagascar,86
Finding Nemo,104
Tim Burton's The Nightmare Before Christmas,76
Gnomeo and Juliet,84
Happy Feet Two,105
