Movie,Length (minutes)
Ice Age: The Meltdown,90
Rio,96
Beauty and the Beast,84
Mulan,88
Rugrats in Paris:The Movie,78
Shrek,90
Madagascar,86
Coraline,100
The Fox and the Hound,83
The Simpsons Movie,87
Flushed Away,86
The Hunchback of Notre Dame,91
Fantasia 2000,75
The Princess and the Frog,95
Robots,90
Pocahontas,81
Curious George,86
Shrek the Third,92
Finding Nemo,104
Space Jam,88
Chicken Little,81
Cars 2,113
Bee Movie,90
Kung Fu Panda 2,91
Hoodwinked,95
Puss in Boots,90
Hercules,92
The Emperor's New Groove,78
A Christmas Carol,96
Cars,116
