Movie,Length (minutes)
The Tigger Movie,77
Toy Story 3,103
Dr. Seuss' Horton Hears a Who!,88
The Incredibles,115
The Land Before Time,67
Puss in Boots,90
Robots,90
Over the Hedge,87
Fantasia 2000,75
Anastasia,94
Bolt,96
Coraline,100
Open Season,100
Ice Age,81
The SpongeBob Suarepants Movie,90
Tarzan,88
Cloudy with a Chance of Meatballs,81
A Bug's Life,96
Atlantis: The Lost Empire,95
Brother Bear,85
Up,96
Madagascar,86
The Princess and the Frog,95
Tim Burton's The Nightmare Before Christmas,76
Ratatouille,111
Pocahontas,81
A Christmas Carol,96
Bee Movie,90
Lilo & Stitch,85
Ice Age: Dawn of the Dinosaurs,87
