Movie,Length (minutes)
The Princess and the Frog,95
Beauty and the Beast,84
The Tigger Movie,77
TMNT,90
Cars,116
The Prince of Egypt,99
Anastasia,94
Tarzan,88
Dinosaur,82
Monsters vs. Aliens,94
The Polar Express,100
Megamind,96
Tangled,100
Jimmy Neutron: Boy Genius,82
Antz,84
The Lion King,89
A Bug's Life,96
The Little Mermaid,83
Hoodwinked,95
Lilo & Stitch,85
Puss in Boots,90
Happy Feet Two,105
Tim Burton's The Nightmare Before Christmas,76
The SpongeBob Suarepants Movie,90
Shrek 2,93
Robots,90
Despicable Me,95
Cars 2,113
Home on the Range,76
Rio,96
