Movie,Length (minutes)
Atlantis: The Lost Empire,95
Happy Feet,108
Spirit: Stallion of the Cimarron,82
Shrek 2,93
Meet the Robinsons,92
Hoodwinked,95
Aladdin,90
Cars 2,113
WALL-E,97
The Rugrats Movie,81
Madagascar: Excape 2 Africs,89
The Tale of Despereaux,87
The Polar Express,100
Over the Hedge,87
Antz,84
Pokemon:The First Movie,96
The Prince of Egypt,99
Ice Age,81
The Hunchback of Notre Dame,91
Kung Fu Panda,91
The Simpsons Movie,87
Cloudy with a Chance of Meatballs,81
Tim Burton's Corpse Bride,74
Robots,90
Chicken Little,81
Ratatouille,111
The Jungle Book 2,78
Lilo & Stitch,85
Who Framed Roger Rabbit,103
The Little Mermaid,83
