Movie,Length (minutes)
How to Train Your Dragon,98
The Hunchback of Notre Dame,91
Atlantis: The Lost Empire,95
Toy Story,81
Finding Nemo,104
Coraline,100
Chicken Run,84
Chicken Little,81
Aladdin,90
Robots,90
Up,96
TMNT,90
Beavis and Butt-Head Do America,80
Rango,107
Curious George,86
Meet the Robinsons,92
Barnyard: The Original Party Animals,83
The Land Before Time,67
Happy Feet Two,105
Space Jam,88
Shrek,90
Who Framed Roger Rabbit,103
Over the Hedge,87
Flushed Away,86
Cars,116
The Emperor's New Groove,78
Kung Fu Panda 2,91
Open Season,100
Brother Bear,85
Monsters vs. Aliens,94
