Movie,Length (minutes)
Antz,84
Aladdin,90
Madagascar,86
Shrek,90
Space Jam,88
The Princess and the Frog,95
Shrek the Third,92
Madagascar: Excape 2 Africs,89
Rugrats in Paris:The Movie,78
Legends of the Guardians: The Owls of Ga'Hoole,90
Cars,116
Surf's Up,85
The Road to El Dorado,99
Shrek 2,93
Beavis and Butt-Head Do America,80
Over the Hedge,87
Lilo & Stitch,85
Return to Never Land,72
Robots,90
Open Season,100
How to Train Your Dragon,98
The Prince of Egypt,99
Up,96
South Park--Bigger Longer and Uncut,80
Chicken Little,81
Gnomeo and Juliet,84
Meet the Robinsons,92
A Bug's Life,96
The Fox and the Hound,83
Fantasia 2000,75
