Movie,Length (minutes)
Cars 2,113
Monsters Inc.,90
A Christmas Carol,96
The Tale of Despereaux,87
The Prince of Egypt,99
The Road to El Dorado,99
The Hunchback of Notre Dame,91
Chicken Run,84
Anastasia,94
Shrek Forever,93
Lilo & Stitch,85
Ice Age: Dawn of the Dinosaurs,87
Legends of the Guardians: The Owls of Ga'Hoole,90
Shrek the Third,92
Ice Age: The Meltdown,90
Chicken Little,81
Up,96
Tim Burton's The Nightmare Before Christmas,76
Kung Fu Panda 2,91
Hercules,92
Atlantis: The Lost Empire,95
The Little Mermaid,83
Madagascar: Excape 2 Africs,89
Spirit: Stallion of the Cimarron,82
Monster House,91
Beavis and Butt-Head Do America,80
Robots,90
Beowulf,113
Bee Movie,90
How to Train Your Dragon,98
