Movie,Length (minutes)
Meet the Robinsons,92
South Park--Bigger Longer and Uncut,80
Ratatouille,111
The Fox and the Hound,83
Hercules,92
Curious George,86
Robots,90
Madagascar: Excape 2 Africs,89
Ice Age,81
Rio,96
The Little Mermaid,83
Who Framed Roger Rabbit,103
Dinosaur,82
Over the Hedge,87
The Jungle Book 2,78
Tim Burton's Corpse Bride,74
Anastasia,94
Aladdin,90
Fantasia 2000,75
Toy Story,81
The Princess and the Frog,95
The Tale of Despereaux,87
Wallace and Gromit: The Curse of the Were-Rabbit,85
Chicken Run,84
Legends of the Guardians: The Owls of Ga'Hoole,90
Happy Feet,108
Space Jam,88
Tim Burton's The Nightmare Before Christmas,76
A Bug's Life,96
Pocahontas,81
