Movie,Length (minutes)
Toy Story 3,103
Hoodwinked,95
Megamind,96
Beowulf,113
Puss in Boots,90
Kung Fu Panda 2,91
The Princess and the Frog,95
Finding Nemo,104
The Fox and the Hound,83
The Tigger Movie,77
Barnyard: The Original Party Animals,83
Atlantis: The Lost Empire,95
Rango,107
Chicken Little,81
Pocahontas,81
Madagascar: Excape 2 Africs,89
The Polar Express,100
Fantasia 2000,75
Bolt,96
Despicable Me,95
WALL-E,97
Antz,84
South Park--Bigger Longer and Uncut,80
Flushed Away,86
The SpongeBob Suarepants Movie,90
Jimmy Neutron: Boy Genius,82
The Emperor's New Groove,78
Beauty and the Beast,84
Shrek the Third,92
The Jungle Book 2,78
