Movie,Length (minutes)
The Jungle Book 2,78
Monsters Inc.,90
Beavis and Butt-Head Do America,80
Ratatouille,111
Shrek,90
Monsters vs. Aliens,94
Kung Fu Panda,91
Chicken Run,84
Over the Hedge,87
Rio,96
The Hunchback of Notre Dame,91
Mulan,88
WALL-E,97
Beauty and the Beast,84
Megamind,96
Meet the Robinsons,92
Cars 2,113
Robots,90
Atlantis: The Lost Empire,95
Rugrats in Paris:The Movie,78
The Incredibles,115
Barnyard: The Original Party Animals,83
Shrek the Third,92
Arthur Christmas,97
Hoodwinked,95
Up,96
Brother Bear,85
The Fox and the Hound,83
The Lion King,89
Happy Feet,108
