Movie,Length (minutes)
Surf's Up,85
Despicable Me,95
Home on the Range,76
Monsters vs. Aliens,94
The Rugrats Movie,81
Mulan,88
Toy Story,81
The Hunchback of Notre Dame,91
The Jungle Book 2,78
Shrek Forever,93
Fantasia 2000,75
A Christmas Carol,96
Ice Age: The Meltdown,90
Monsters Inc.,90
Ice Age,81
Tarzan,88
Up,96
The Emperor's New Groove,78
Open Season,100
Bee Movie,90
Shrek,90
Beavis and Butt-Head Do America,80
Who Framed Roger Rabbit,103
The Tigger Movie,77
The Land Before Time,67
Hercules,92
Return to Never Land,72
Shark Tale,90
TMNT,90
Rango,107
