Movie,Length (minutes)
Atlantis: The Lost Empire,95
Wallace and Gromit: The Curse of the Were-Rabbit,85
Who Framed Roger Rabbit,103
Beavis and Butt-Head Do America,80
Shrek,90
The Adventures of Tintin,101
Despicable Me,95
Shrek 2,93
Flushed Away,86
Megamind,96
Ice Age: Dawn of the Dinosaurs,87
Hercules,92
TMNT,90
The Tigger Movie,77
Beauty and the Beast,84
Shark Tale,90
Anastasia,94
Meet the Robinsons,92
The Hunchback of Notre Dame,91
Brother Bear,85
Monsters Inc.,90
Madagascar,86
Madagascar: Excape 2 Africs,89
The Jungle Book 2,78
Jimmy Neutron: Boy Genius,82
Cars 2,113
Fantasia 2000,75
Cars,116
Dr. Seuss' Horton Hears a Who!,88
Kung Fu Panda,91
