Movie,Length (minutes)
Puss in Boots,90
Up,96
A Bug's Life,96
Toy Story 2,92
Megamind,96
The SpongeBob Suarepants Movie,90
Rugrats in Paris:The Movie,78
Cars,116
Spirit: Stallion of the Cimarron,82
Beowulf,113
The Tale of Despereaux,87
Atlantis: The Lost Empire,95
Madagascar: Excape 2 Africs,89
Open Season,100
Dr. Seuss' Horton Hears a Who!,88
Coraline,100
Curious George,86
The Fox and the Hound,83
Jimmy Neutron: Boy Genius,82
Mulan,88
Bolt,96
The Road to El Dorado,99
Home on the Range,76
A Christmas Carol,96
Rango,107
Cars 2,113
Aladdin,90
The Prince of Egypt,99
TMNT,90
Hercules,92
