Movie,Length (minutes)
The Fox and the Hound,83
Beowulf,113
Hoodwinked,95
Open Season,100
Barnyard: The Original Party Animals,83
Happy Feet,108
Ice Age: The Meltdown,90
Bolt,96
Jimmy Neutron: Boy Genius,82
WALL-E,97
Who Framed Roger Rabbit,103
Megamind,96
Tangled,100
Tarzan,88
The Road to El Dorado,99
Tim Burton's The Nightmare Before Christmas,76
Cars 2,113
Monster House,91
Space Jam,88
Chicken Little,81
South Park--Bigger Longer and Uncut,80
How to Train Your Dragon,98
Toy Story 3,103
Beavis and Butt-Head Do America,80
Tim Burton's Corpse Bride,74
Gnomeo and Juliet,84
The Land Before Time,67
Rango,107
Over the Hedge,87
Up,96
