Movie,Length (minutes)
Bolt,96
The Simpsons Movie,87
Dr. Seuss' Horton Hears a Who!,88
Shrek Forever,93
Hoodwinked,95
Barnyard: The Original Party Animals,83
TMNT,90
A Christmas Carol,96
The Emperor's New Groove,78
Ice Age: The Meltdown,90
How to Train Your Dragon,98
A Bug's Life,96
Kung Fu Panda 2,91
Beowulf,113
Ice Age,81
Who Framed Roger Rabbit,103
Over the Hedge,87
Monster House,91
Tim Burton's Corpse Bride,74
Monsters Inc.,90
Robots,90
Kung Fu Panda,91
The Hunchback of Notre Dame,91
The Road to El Dorado,99
Ice Age: Dawn of the Dinosaurs,87
Surf's Up,85
Curious George,86
Flushed Away,86
Finding Nemo,104
Cars,116
