Movie,Length (minutes)
Spirit: Stallion of the Cimarron,82
Beowulf,113
Ice Age: Dawn of the Dinosaurs,87
Jimmy Neutron: Boy Genius,82
The Polar Express,100
The Little Mermaid,83
Meet the Robinsons,92
Up,96
Tim Burton's The Nightmare Before Christmas,76
Gnomeo and Juliet,84
Who Framed Roger Rabbit,103
Pocahontas,81
Barnyard: The Original Party Animals,83
South Park--Bigger Longer and Uncut,80
Space Jam,88
Robots,90
Monsters Inc.,90
Kung Fu Panda 2,91
Shrek,90
Dinosaur,82
The Princess and the Frog,95
The Land Before Time,67
Curious George,86
Madagascar: Excape 2 Africs,89
The Emperor's New Groove,78
Toy Story 2,92
Despicable Me,95
Anastasia,94
Lilo & Stitch,85
Hoodwinked,95
