Movie,Length (minutes)
Kung Fu Panda 2,91
Mulan,88
WALL-E,97
Happy Feet,108
Happy Feet Two,105
Dr. Seuss' Horton Hears a Who!,88
Up,96
The Prince of Egypt,99
Monster House,91
Curious George,86
Beowulf,113
Space Jam,88
A Christmas Carol,96
Bolt,96
Shrek the Third,92
Madagascar,86
Meet the Robinsons,92
TMNT,90
Ice Age: The Meltdown,90
The Rugrats Movie,81
The Hunchback of Notre Dame,91
Open Season,100
Megamind,96
The Polar Express,100
The Land Before Time,67
Jimmy Neutron: Boy Genius,82
Shrek Forever,93
Hercules,92
Antz,84
Chicken Little,81
