Movie,Length (minutes)
Beowulf,113
The Tale of Despereaux,87
Shark Tale,90
Shrek 2,93
The Tigger Movie,77
Ice Age,81
Despicable Me,95
Atlantis: The Lost Empire,95
Kung Fu Panda,91
Who Framed Roger Rabbit,103
Monster House,91
Chicken Little,81
The Fox and the Hound,83
TMNT,90
Chicken Run,84
Curious George,86
Coraline,100
Cars,116
Monsters Inc.,90
Beavis and Butt-Head Do America,80
Anastasia,94
Cloudy with a Chance of Meatballs,81
The Prince of Egypt,99
Toy Story 3,103
Ice Age: Dawn of the Dinosaurs,87
How to Train Your Dragon,98
Open Season,100
Ratatouille,111
Jimmy Neutron: Boy Genius,82
Happy Feet,108
