Movie,Length (minutes)
Surf's Up,85
Tarzan,88
Happy Feet,108
Anastasia,94
Shrek 2,93
Tim Burton's The Nightmare Before Christmas,76
The Tigger Movie,77
Space Jam,88
Shark Tale,90
Puss in Boots,90
The Incredibles,115
Lilo & Stitch,85
Finding Nemo,104
Spirit: Stallion of the Cimarron,82
Coraline,100
Gnomeo and Juliet,84
Cars 2,113
South Park--Bigger Longer and Uncut,80
The Prince of Egypt,99
Bolt,96
Toy Story,81
Rugrats in Paris:The Movie,78
The Tale of Despereaux,87
Chicken Run,84
Madagascar: Excape 2 Africs,89
Open Season,100
Happy Feet Two,105
The Lion King,89
Monster House,91
The Hunchback of Notre Dame,91
