Movie,Length (minutes)
Rango,107
Finding Nemo,104
The Princess and the Frog,95
Hoodwinked,95
A Christmas Carol,96
Shrek,90
The Jungle Book 2,78
Cars 2,113
Beavis and Butt-Head Do America,80
Toy Story 2,92
Aladdin,90
The Emperor's New Groove,78
Ice Age,81
Lilo & Stitch,85
Toy Story,81
Shrek Forever,93
The SpongeBob Suarepants Movie,90
The Fox and the Hound,83
Monster House,91
Kung Fu Panda 2,91
Shrek the Third,92
The Rugrats Movie,81
Rugrats in Paris:The Movie,78
Barnyard: The Original Party Animals,83
Chicken Run,84
Jimmy Neutron: Boy Genius,82
The Little Mermaid,83
Pocahontas,81
Ratatouille,111
TMNT,90
