Movie,Length (minutes)
Home on the Range,76
The Fox and the Hound,83
Jimmy Neutron: Boy Genius,82
Pokemon:The First Movie,96
Lilo & Stitch,85
Hoodwinked,95
Open Season,100
The Hunchback of Notre Dame,91
Tarzan,88
Toy Story,81
Cars 2,113
Dr. Seuss' Horton Hears a Who!,88
The Princess and the Frog,95
Ice Age: Dawn of the Dinosaurs,87
A Bug's Life,96
Antz,84
The Jungle Book 2,78
Flushed Away,86
Hercules,92
Barnyard: The Original Party Animals,83
The Land Before Time,67
TMNT,90
WALL-E,97
Tim Burton's The Nightmare Before Christmas,76
The Polar Express,100
The Tale of Despereaux,87
Bolt,96
Coraline,100
Cloudy with a Chance of Meatballs,81
Gnomeo and Juliet,84
