Movie,Length (minutes)
Wallace and Gromit: The Curse of the Were-Rabbit,85
Up,96
Tim Burton's The Nightmare Before Christmas,76
Home on the Range,76
The Jungle Book 2,78
Madagascar,86
Shrek Forever,93
Beowulf,113
How to Train Your Dragon,98
The Hunchback of Notre Dame,91
Arthur Christmas,97
Cars,116
Pokemon:The First Movie,96
Tangled,100
The Lion King,89
Kung Fu Panda,91
The Simpsons Movie,87
Legends of the Guardians: The Owls of Ga'Hoole,90
Anastasia,94
Ice Age,81
Bee Movie,90
Rugrats in Paris:The Movie,78
Brother Bear,85
A Bug's Life,96
The SpongeBob Suarepants Movie,90
Ice Age: The Meltdown,90
Open Season,100
Shrek,90
The Princess and the Frog,95
Return to Never Land,72
