Movie,Length (minutes)
Flushed Away,86
The Rugrats Movie,81
Ice Age,81
Cars 2,113
Mulan,88
South Park--Bigger Longer and Uncut,80
Tarzan,88
Open Season,100
Meet the Robinsons,92
Rugrats in Paris:The Movie,78
Ice Age: The Meltdown,90
Kung Fu Panda 2,91
Legends of the Guardians: The Owls of Ga'Hoole,90
Barnyard: The Original Party Animals,83
Rio,96
Puss in Boots,90
Hoodwinked,95
Spirit: Stallion of the Cimarron,82
Chicken Run,84
The Tigger Movie,77
Surf's Up,85
Happy Feet Two,105
Shrek 2,93
Anastasia,94
Shark Tale,90
TMNT,90
Madagascar: Excape 2 Africs,89
Bee Movie,90
Arthur Christmas,97
Aladdin,90
