Movie,Length (minutes)
Shark Tale,90
Surf's Up,85
Lilo & Stitch,85
Up,96
Chicken Run,84
Barnyard: The Original Party Animals,83
The Emperor's New Groove,78
Monsters vs. Aliens,94
Despicable Me,95
The Adventures of Tintin,101
Dinosaur,82
Arthur Christmas,97
Madagascar,86
The Hunchback of Notre Dame,91
Beavis and Butt-Head Do America,80
Rio,96
Anastasia,94
Spirit: Stallion of the Cimarron,82
Dr. Seuss' Horton Hears a Who!,88
The Road to El Dorado,99
Cars,116
The Tale of Despereaux,87
Ratatouille,111
Chicken Little,81
The Rugrats Movie,81
The Fox and the Hound,83
Ice Age: Dawn of the Dinosaurs,87
Toy Story 3,103
Atlantis: The Lost Empire,95
Shrek Forever,93
