Movie,Length (minutes)
The Little Mermaid,83
Rugrats in Paris:The Movie,78
Atlantis: The Lost Empire,95
Curious George,86
Shark Tale,90
Wallace and Gromit: The Curse of the Were-Rabbit,85
Cloudy with a Chance of Meatballs,81
Chicken Little,81
WALL-E,97
Antz,84
Up,96
Tarzan,88
The Incredibles,115
Beowulf,113
Ice Age,81
Monster House,91
Aladdin,90
The Rugrats Movie,81
Tim Burton's Corpse Bride,74
A Christmas Carol,96
The Land Before Time,67
Toy Story 3,103
Happy Feet Two,105
The Princess and the Frog,95
Gnomeo and Juliet,84
The Fox and the Hound,83
Legends of the Guardians: The Owls of Ga'Hoole,90
Bolt,96
Lilo & Stitch,85
Over the Hedge,87
