Movie,Length (minutes)
Antz,84
Shrek the Third,92
The Emperor's New Groove,78
Arthur Christmas,97
Kung Fu Panda,91
Megamind,96
Monsters vs. Aliens,94
Tangled,100
Bolt,96
The Polar Express,100
Toy Story 3,103
Beauty and the Beast,84
Fantasia 2000,75
The Fox and the Hound,83
Open Season,100
Shrek,90
Rio,96
Beavis and Butt-Head Do America,80
Coraline,100
Beowulf,113
A Christmas Carol,96
Happy Feet,108
Ice Age: The Meltdown,90
Over the Hedge,87
Anastasia,94
Shark Tale,90
Dr. Seuss' Horton Hears a Who!,88
Monsters Inc.,90
Space Jam,88
Shrek Forever,93
