Movie,Length (minutes)
Chicken Little,81
Finding Nemo,104
Antz,84
Surf's Up,85
Toy Story 2,92
Open Season,100
Flushed Away,86
Shrek,90
A Christmas Carol,96
Madagascar: Excape 2 Africs,89
Over the Hedge,87
Tarzan,88
Bolt,96
The Jungle Book 2,78
Robots,90
Cars 2,113
The Rugrats Movie,81
The Princess and the Frog,95
The Simpsons Movie,87
The Polar Express,100
Lilo & Stitch,85
The SpongeBob Suarepants Movie,90
Cloudy with a Chance of Meatballs,81
Kung Fu Panda,91
Barnyard: The Original Party Animals,83
A Bug's Life,96
Atlantis: The Lost Empire,95
Coraline,100
Beavis and Butt-Head Do America,80
Chicken Run,84
