Movie,Length (minutes)
Cars,116
The SpongeBob Suarepants Movie,90
Curious George,86
The Tale of Despereaux,87
Lilo & Stitch,85
Ratatouille,111
The Road to El Dorado,99
Fantasia 2000,75
Spirit: Stallion of the Cimarron,82
The Adventures of Tintin,101
Antz,84
Wallace and Gromit: The Curse of the Were-Rabbit,85
Bolt,96
Open Season,100
Jimmy Neutron: Boy Genius,82
Who Framed Roger Rabbit,103
Legends of the Guardians: The Owls of Ga'Hoole,90
The Tigger Movie,77
Home on the Range,76
Bee Movie,90
Rugrats in Paris:The Movie,78
Shrek 2,93
Chicken Little,81
Surf's Up,85
Return to Never Land,72
Kung Fu Panda 2,91
Happy Feet,108
A Christmas Carol,96
Rango,107
Toy Story 2,92
