Movie,Length (minutes)
Jimmy Neutron: Boy Genius,82
Kung Fu Panda,91
Brother Bear,85
South Park--Bigger Longer and Uncut,80
The Incredibles,115
The Adventures of Tintin,101
Happy Feet,108
The Little Mermaid,83
Flushed Away,86
Home on the Range,76
The Simpsons Movie,87
Coraline,100
The Tale of Despereaux,87
Rio,96
Hoodwinked,95
Ice Age: Dawn of the Dinosaurs,87
Tarzan,88
Monster House,91
The Rugrats Movie,81
Rugrats in Paris:The Movie,78
How to Train Your Dragon,98
The Polar Express,100
Tangled,100
Atlantis: The Lost Empire,95
Up,96
Despicable Me,95
Madagascar,86
Shrek Forever,93
Fantasia 2000,75
Tim Burton's The Nightmare Before Christmas,76
