Movie,Length (minutes)
The Adventures of Tintin,101
Antz,84
Gnomeo and Juliet,84
Monsters vs. Aliens,94
Beauty and the Beast,84
The Simpsons Movie,87
Beowulf,113
The Rugrats Movie,81
Aladdin,90
Dr. Seuss' Horton Hears a Who!,88
Toy Story 3,103
Barnyard: The Original Party Animals,83
Kung Fu Panda 2,91
Robots,90
The Land Before Time,67
Cloudy with a Chance of Meatballs,81
A Bug's Life,96
The Prince of Egypt,99
Finding Nemo,104
Mulan,88
Monster House,91
Space Jam,88
The Fox and the Hound,83
Ice Age: The Meltdown,90
Jimmy Neutron: Boy Genius,82
Fantasia 2000,75
Toy Story 2,92
Open Season,100
Bolt,96
Ratatouille,111
