Movie,Length (minutes)
Aladdin,90
Ice Age: The Meltdown,90
Space Jam,88
The Little Mermaid,83
Meet the Robinsons,92
The Road to El Dorado,99
The Simpsons Movie,87
Rango,107
Hercules,92
Tarzan,88
TMNT,90
Return to Never Land,72
Robots,90
Shrek the Third,92
Spirit: Stallion of the Cimarron,82
The Polar Express,100
The Lion King,89
Mulan,88
Over the Hedge,87
Antz,84
The SpongeBob Suarepants Movie,90
Home on the Range,76
The Adventures of Tintin,101
Shark Tale,90
Madagascar: Excape 2 Africs,89
Toy Story 2,92
Up,96
Dr. Seuss' Horton Hears a Who!,88
The Jungle Book 2,78
How to Train Your Dragon,98
