Movie,Length (minutes)
Shrek 2,93
Bolt,96
A Christmas Carol,96
The Lion King,89
A Bug's Life,96
Antz,84
Chicken Little,81
TMNT,90
Robots,90
Cars 2,113
Beauty and the Beast,84
Ice Age: Dawn of the Dinosaurs,87
Rugrats in Paris:The Movie,78
Ratatouille,111
Kung Fu Panda 2,91
Atlantis: The Lost Empire,95
Finding Nemo,104
Arthur Christmas,97
Home on the Range,76
The Jungle Book 2,78
Anastasia,94
Madagascar,86
Tim Burton's Corpse Bride,74
Mulan,88
Shark Tale,90
Bee Movie,90
Toy Story,81
The Rugrats Movie,81
Brother Bear,85
Gnomeo and Juliet,84
