Movie,Length (minutes)
The Emperor's New Groove,78
Ice Age: Dawn of the Dinosaurs,87
Shrek the Third,92
The Tale of Despereaux,87
Atlantis: The Lost Empire,95
WALL-E,97
The Hunchback of Notre Dame,91
Monsters vs. Aliens,94
Dr. Seuss' Horton Hears a Who!,88
Shrek Forever,93
Toy Story 3,103
Madagascar: Excape 2 Africs,89
Cars 2,113
TMNT,90
Madagascar,86
Ratatouille,111
Spirit: Stallion of the Cimarron,82
Brother Bear,85
The Simpsons Movie,87
Rio,96
Barnyard: The Original Party Animals,83
A Christmas Carol,96
Fantasia 2000,75
Open Season,100
Beowulf,113
Tim Burton's The Nightmare Before Christmas,76
Robots,90
The Road to El Dorado,99
Monsters Inc.,90
Bee Movie,90
